position,cp,dtm,dtz,proven_depth
JFM2QBERABEAACAAAABxAAAAAAcAAAAAd3dwcIq5nKgcAQ,-61,0,0,32798
BFM2QhERABEAAgAAAABxAAAAAAcAAAAAd3dwcIq5nKgcAQ,78,0,0,32798
JFMGQhEREBEAAAAAAAMBAAAABwcAAAAAd3dwcIq5nKgcAQ,193,0,0,32798
BFM2QhEREBEAAgAAAAABAAAABwcAAAAAd3dwcIq5nKgcAQ,224,0,0,32798
JFMGQhEREBEAAAAAAAABADAAAAcABwAAd3B3cIq5nKgcAQ,61,0,0,32798
JFMGQhEREBEAAAAAAAABAAAAAAdzAAAAB3d3cIq5nKgcAQ,173,0,0,32798
JFM2QhEREBEAAAAAAAABAAAAAAcAAAAAd3d3cIq5nKgcAQ,192,0,0,32798
JFMGQhEREBEAAAAAAAMBAAAHBwAAAAAAd3Bwd4q5nKgcAQ,76,0,0,32798
JFM2QBEREBEAACAAAAABAAAHBwAAAAAAd3Bwd4q5nKgcAQ,190,0,0,32798
BFM2QhEREBEAAgAAAAABAAAHBwAAAAAAd3Bwd4q5nKgcAQ,81,0,0,32798
JFMGQhEREBEAAAAAAAABADAABwAABwAAd3Bwd4q5nKgcAQ,-31,0,0,32798
JFMGQhEREBEAAAAAAAABAAAABwBzAAAAB3dwd4q5nKgcAQ,63,0,0,32798
JFM2QBEREBEAACAAAAABAAcABwAAAAAAcHdwd4q5nKgcAQ,166,0,0,32798
BFM2QhEREBEAAgAAAAABAAcABwAAAAAAcHdwd4q5nKgcAQ,124,0,0,32798
JFM2QhEREBEAAAAAAAABAAAABwAAAAAAd3dwd4q5nKgcAQ,29,0,0,32798
JFMGQhEREBEAAAAAAAABAAAHAABzAAAAB3B3d4q5nKgcAQ,16,0,0,32798
JFMGQhEREBEAAAAAAAABADcAAAAABwAAcHB3d4q5nKgcAQ,26,0,0,32798
JFM2QhEREBEAAAAAAAABAAAHAAAAAAAAd3B3d4q5nKgcAQ,31,0,0,32798
JFM2QhEREBEAAAAAAAABAAcAAAAAAAAAcHd3d4q5nKgcAQ,94,0,0,32798
JFM2QgEREBEQAAAAAAABAAAHBwAAAAAAd3Bwd4q5nKgcAQ,29,0,0,32798
JFM2QhEQEBEAAQAAAAABAAAHBwAAAAAAd3Bwd4q5nKgcAQ,33,0,0,32798
JFM2QhEQEBEAAQAAAAABAAcABwAAAAAAcHdwd4q5nKgcAQ,70,0,0,32798
JFM2QhEBABEAEAAAAABxAAAAAAcAAAAAd3dwcIq5nKgcAQ,15,0,0,32798
JFM2QhEBEBEAEAAAAAABAAAHBwAAAAAAd3Bwd4q5nKgcAQ,29,0,0,32798
JFM2QhEQEBEAAAAAAAEBAAAHBwAAAAAAd3Bwd4q5nKgcAQ,16,0,0,32798
JFM2QBEBABEAACAAABBxAAAHAAcAAAAAd3BwcIq5nKgcAQ,159,0,0,32798
JFM2QhEBABEAAAAAABBxAAAAAAcAAAAAd3dwcIq5nKgcAQ,71,0,0,32798
JFM2QhEBEBEAAAAAABABAAAHBwAAAAAAd3Bwd4q5nKgcAQ,255,0,0,32798
JFM2QhEBEBEAAAAAABABAAcABwAAAAAAcHdwd4q5nKgcAQ,152,0,0,32798
JFM2QhERAREAAAAAAAAQAAAAAAcAAAAAd3d3cIq5nKgcAQ,88,0,0,32798
JFM2QhERAREAAAAAAAAQAAAABwAAAAAAd3dwd4q5nKgcAQ,55,0,0,32798
JFM2QhERAREAAAAAAAAQAAAHAAAAAAAAd3B3d4q5nKgcAQ,-16,0,0,32798
JFM2QhERAREAAAAAAAAQAAcAAAAAAAAAcHd3d4q5nKgcAQ,27,0,0,32798
JFM2QhERABEAAAAAAAARAAAHBwAAAAAAd3Bwd4q5nKgcAQ,37,0,0,32798
JFM2QhERABEAAAAAAAARAAcABwAAAAAAcHdwd4q5nKgcAQ,55,0,0,32798
JFM2QhERERAAAAAAAAAAAQAAAAcAAAAAd3d3cIq5nKgcAQ,32,0,0,32798
JFM2QhERERAAAAAAAAAAAQAABwAAAAAAd3dwd4q5nKgcAQ,-89,0,0,32798
JFM2QhERERAAAAAAAAAAAQAHAAAAAAAAd3B3d4q5nKgcAQ,-64,0,0,32798
JFM2QhERERAAAAAAAAAAAQcAAAAAAAAAcHd3d4q5nKgcAQ,-37,0,0,32798
JFM2QhEREQEAAAAAAAAAEAAAAAcAAAAAd3d3cIq5nKgcAQ,208,0,0,32798
JFM2QhEREQEAAAAAAAAAEAAABwAAAAAAd3dwd4q5nKgcAQ,-49,0,0,32798
JFM2QhEREQEAAAAAAAAAEAAHAAAAAAAAd3B3d4q5nKgcAQ,-25,0,0,32798
JFM2QhEREQEAAAAAAAAAEAcAAAAAAAAAcHd3d4q5nKgcAQ,9,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAHAAAAAAd3d3B4q5nKgdAQ,108,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAHAAAAAAd3d3B4q5nKgdAQ,74,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,58,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,-23,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,71,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,48,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,-20,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,1,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,38,0,0,32798
JFM2QBEREREAACAAAAAAAAAAcAAAAAAAd3cHd4q5nKgdAQ,52,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAcAAAAAAAd3cHd4q5nKgdAQ,56,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,130,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,83,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,145,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,26,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,-17,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,-28,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,43,0,0,32798
JFM2QBEREREAACAAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,17,0,0,32798
JFM2QBEREREAAAAgAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,-55,0,0,32798
BFM2QhERERECAAAAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,-28,0,0,32798
BFM2QhEREREAAgAAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,0,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,61,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,-14,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,-23,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,51,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,25,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,-33,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,-5,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,32,0,0,32798
JFM2QBEREREAACAAAAAAAHAAAAAAAAAAB3d3d4q5nKgdAQ,71,0,0,32798
BFM2QhEREREAAgAAAAAAAHAAAAAAAAAAB3d3d4q5nKgdAQ,94,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,61,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,-7,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,-18,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,62,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,52,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,-16,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,41,0,0,32798
JFM2QhEREREAAAAAAAAAAAAAAAAAAAAAd3d3d4q5nKgdAQ,40,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAIAAAAd3d3dwq5nKgdAQ,108,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,49,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,22,0,0,32798
JFM2QBEREREAACAAAAAAAAAAAAAAAACAd3d3d4q5nKAdAQ,110,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAIAAAAd3d3dwq5nKgdAQ,13,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,-39,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,-54,0,0,32798
JFM2QBEREREAAAAgAAAAAAAAAAAAAACAd3d3d4q5nKAdAQ,22,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAIAAAAd3d3dwq5nKgdAQ,26,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,-22,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,-29,0,0,32798
BFM2QhERERECAAAAAAAAAAAAAAAAAACAd3d3d4q5nKAdAQ,39,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAIAAAAd3d3dwq5nKgdAQ,118,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,23,0,0,32798
BFM2QhEREREAAgAAAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,2,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAHAAAAAAd3d3B4q5nKgdAQ,48,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,32,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,-1,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAcAAAAAAAd3cHd4q5nKgdAQ,32,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,112,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,2,0,0,32798
JFM2QhAREREBAAAAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,1,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,35,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,12,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,50,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,13,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,35,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,-14,0,0,32798
JFM2QhAREREBAAAAAAAAAAAAAAAAAACAd3d3d4q5nKAdAQ,74,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAHAAAAAAd3d3B4q5nKgdAQ,25,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,29,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,11,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAcAAAAAAAd3cHd4q5nKgdAQ,35,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,81,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,8,0,0,32798
JFM2QgEREREQAAAAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,-8,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,12,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,16,0,0,32798
JFM2QgEREREQAAAAAAAAAHAAAAAAAAAAB3d3d4q5nKgdAQ,29,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,29,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,14,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAIAAAAd3d3dwq5nKgdAQ,57,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,16,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,-1,0,0,32798
JFM2QgEREREQAAAAAAAAAAAAAAAAAACAd3d3d4q5nKAdAQ,31,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAHAAAAAAd3d3B4q5nKgdAQ,49,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,32,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,28,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAcAAAAAAAd3cHd4q5nKgdAQ,28,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,80,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,10,0,0,32798
JFM2QhEQEREAAQAAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,6,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,22,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,33,0,0,32798
JFM2QhEQEREAAQAAAAAAAHAAAAAAAAAAB3d3d4q5nKgdAQ,41,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,23,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,25,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,20,0,0,32798
JFM2QhEQEREAAQAAAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,2,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAHAAAAAAd3d3B4q5nKgdAQ,40,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,20,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,9,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAcAAAAAAAd3cHd4q5nKgdAQ,42,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,48,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,5,0,0,32798
JFM2QhEBEREAEAAAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,-14,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,11,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,18,0,0,32798
JFM2QhEBEREAEAAAAAAAAHAAAAAAAAAAB3d3d4q5nKgdAQ,29,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,19,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,16,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAIAAAAd3d3dwq5nKgdAQ,51,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAACAAAd3d3dwq5nKgdAQ,6,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAAAIAAd3d3d4q5nKAdAQ,-12,0,0,32798
JFM2QhEBEREAEAAAAAAAAAAAAAAAAACAd3d3d4q5nKAdAQ,53,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAHAAAAAAd3d3B4q5nKgdAQ,67,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAAAAAABwd3d3B4q5nKgdAQ,34,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAAAAAAAHd3d3cIq5nKgdAQ,26,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAcAAAAAAAd3cHd4q5nKgdAQ,45,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAAAAAHAAd3cHd4q5nKgdAQ,68,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAAAAAAcAd3dwd4q5nKgdAQ,11,0,0,32798
JFM2QhEREBEAAAEAAAAAAABwAAAAAAAAdwd3d4q5nKgdAQ,13,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAAAAcAAAdwd3d4q5nKgdAQ,30,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAAAABwAAd3B3d4q5nKgdAQ,23,0,0,32798
JFM2QhEREBEAAAEAAAAAAHAAAAAAAAAAB3d3d4q5nKgdAQ,165,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAABwAAAAB3d3d4q5nKgdAQ,12,0,0,32798
JFM2QhEREBEAAAEAAAAAAAAAAAAHAAAAcHd3d4q5nKgdAQ,25,0,0,32798
